site_id,strategy,K,selected_ex,selected_ex_span_nm,lower_edge_gap_nm,upper_edge_gap_nm,relative_frobenius_error_fullrange,relative_frobenius_error_interpdomain,spectral_cosine_fullrange,reconstruction_supported_fraction_fullrange,unsupported_fraction_fullrange
S02,NAIG,6,365;620;450;695;545;425,330,65,5,0.7306087894888652,0.8590136410633583,0.8617272759531899,0.9681851048445409,0.03181489515545915
S02,NAIG,8,365;620;450;695;545;425;475;505,330,65,5,0.28378603068265246,0.3087125543229646,0.9588956932628887,0.9681851048445409,0.03181489515545915
S02,Uniform,2,300;700,400,0,0,0.28257566110062066,0.28257566110062066,0.9619646347128836,0.9115449505905038,0.08845504940949626
S02,Uniform,3,300;500;700,400,0,0,0.26930503952799056,0.26930503952799056,0.9664143333877,0.9363702096890817,0.0636297903109183
S02,Uniform,4,300;435;565;700,400,0,0,0.26090684514436874,0.26090684514436874,0.9654460085729322,0.9983128464690287,0.0016871535309713184
S02,Uniform,6,300;380;460;540;620;700,400,0,0,0.20980978589186977,0.20980978589186977,0.978491424264273,0.9983128464690287,0.0016871535309713184
S02,Uniform,8,300;355;415;470;530;585;645;700,400,0,0,0.19434151799463312,0.19434151799463312,0.9816294751453801,0.9983128464690287,0.0016871535309713184
S03,NAIG,2,470;545,75,170,155,0.7777479969515391,0.5721852972859857,0.8682671970964001,0.8522535550735116,0.1477464449264883
S03,NAIG,3,470;545;620,150,170,80,0.6101602573885209,0.40078442340348386,0.901778812704232,0.8522535550735116,0.1477464449264883
S03,NAIG,4,470;545;620;425,195,125,80,0.714717812047796,0.5951672645016506,0.8499694839673033,0.9346830561581104,0.06531694384188962
S03,NAIG,6,470;545;620;425;375;305,315,5,80,0.48486348154440945,0.47844686396000097,0.8749997844845245,0.997589780670041,0.002410219329959026
S03,NAIG,8,470;545;620;425;375;305;445;675,370,5,25,0.7190610384657374,0.7182776035609115,0.8662396281279222,0.997589780670041,0.002410219329959026
S03,Uniform,2,300;700,400,0,0,0.4622412057781667,0.4622412057781667,0.8927509618719254,0.9115449505905038,0.08845504940949626
S03,Uniform,3,300;500;700,400,0,0,0.38083239963083904,0.38083239963083904,0.9247508769844942,0.9363702096890817,0.0636297903109183
S03,Uniform,4,300;435;565;700,400,0,0,0.33647287329574027,0.33647287329574027,0.9457036006607438,0.9983128464690287,0.0016871535309713184
S03,Uniform,6,300;380;460;540;620;700,400,0,0,0.18670084578600563,0.18670084578600563,0.9824227513217737,0.9983128464690287,0.0016871535309713184
S03,Uniform,8,300;355;415;470;530;585;645;700,400,0,0,0.17345983799122053,0.17345983799122053,0.9863949282249332,0.9983128464690287,0.0016871535309713184
S04,NAIG,2,425;360,65,60,275,0.5968085181717399,0.6804181979831861,0.8368246058046837,0.9715594119064835,0.02844058809351651
S04,NAIG,3,425;360;620,260,60,80,0.59615131757843,0.7845629994968671,0.8366339061732544,0.9715594119064835,0.02844058809351651
S04,NAIG,4,425;360;620;465,260,60,80,0.562933033246591,0.7069297094929212,0.8438174701904086,0.9715594119064835,0.02844058809351651
S04,NAIG,6,425;360;620;465;545;525,260,60,80,0.5586938063392827,0.6979879562585072,0.8443315730273279,0.9715594119064835,0.02844058809351651
S04,NAIG,8,425;360;620;465;545;525;505;695,335,60,5,0.5568845664047015,0.6863966809434026,0.8447359383242781,0.9715594119064835,0.02844058809351651
S04,Uniform,2,300;700,400,0,0,0.4337658040580569,0.4337658040580569,0.9147387458482099,0.9115449505905038,0.08845504940949626
S04,Uniform,3,300;500;700,400,0,0,0.43393372731486496,0.43393372731486496,0.9186975621832895,0.9363702096890817,0.0636297903109183
S04,Uniform,4,300;435;565;700,400,0,0,0.4423983051400265,0.4423983051400265,0.9176312606851779,0.9983128464690287,0.0016871535309713184
S04,Uniform,6,300;380;460;540;620;700,400,0,0,0.4250998923174594,0.4250998923174594,0.912732612465352,0.9983128464690287,0.0016871535309713184
S04,Uniform,8,300;355;415;470;530;585;645;700,400,0,0,0.3580493935409186,0.3580493935409186,0.9349537912339788,0.9983128464690287,0.0016871535309713184
S05,NAIG,2,365;620,255,65,80,0.20556275510622873,0.21583387133354143,0.9794508008308539,0.9681851048445409,0.03181489515545915
S05,NAIG,3,365;620;435,255,65,80,0.20302804632887148,0.20654954304340348,0.9796244307389156,0.9681851048445409,0.03181489515545915
S05,NAIG,4,365;620;435;545,255,65,80,0.19610230138183107,0.19671967134933332,0.9808178535860873,0.9681851048445409,0.03181489515545915
S05,NAIG,6,365;620;435;545;475;345,275,45,80,0.23526780454012178,0.2554258659979509,0.9759127495771639,0.9930103639431188,0.0069896360568811764
S05,NAIG,8,365;620;435;545;475;345;305;505,315,5,80,0.19305328389768842,0.19172882748005352,0.9811971912302506,0.997589780670041,0.002410219329959026
S05,Uniform,2,300;700,400,0,0,0.21731351738565657,0.21731351738565657,0.9769431601688946,0.9115449505905038,0.08845504940949626
S05,Uniform,3,300;500;700,400,0,0,0.18542961706384867,0.18542961706384867,0.9826605831713452,0.9363702096890817,0.0636297903109183
S05,Uniform,4,300;435;565;700,400,0,0,0.18870620654576012,0.18870620654576012,0.9820443288479297,0.9983128464690287,0.0016871535309713184
S05,Uniform,6,300;380;460;540;620;700,400,0,0,0.17843954044056512,0.17843954044056512,0.9840413075470806,0.9983128464690287,0.0016871535309713184
