site_id,strategy,K,selected_ex,rho_structure,relative_frobenius_error_fullrange,spectral_cosine_fullrange
S25,NAIG,8,365;425;480;620;660;695;450;505,0.9507389162561576,0.1864953790909215,0.9829942386158024
S25,Uniform,2,300;700,0.7909140667761357,0.2725650824699425,0.9650204758189124
S25,Uniform,3,300;500;700,0.9578544061302684,0.2605058666424106,0.9736527795287035
S25,Uniform,4,300;435;565;700,0.9469074986316364,0.2696569660732324,0.96848156200734
S25,Uniform,6,300;380;460;540;620;700,0.986863711001642,0.2329259984454041,0.9741388612397208
S25,Uniform,8,300;355;415;470;530;585;645;700,0.9950738916256158,0.1919923637146827,0.981545934333674
S26,NAIG,2,365;425,0.8232074438970991,0.2452138301323595,0.9701265846523148
S26,NAIG,3,365;425;620,0.8494800218938151,0.2463179240770203,0.9697775117318898
S26,NAIG,4,365;425;620;545,0.8949096880131364,0.2456992437418986,0.9698954468220756
S26,NAIG,6,365;425;620;545;475;345,0.9386973180076628,0.2611907982533731,0.9681656653258284
S26,NAIG,8,365;425;620;545;475;345;505;305,0.9512862616310892,0.2625535974980112,0.9649808584146612
S26,Uniform,2,300;700,0.8149972632731255,0.2757672911933825,0.9622722100514296
S26,Uniform,3,300;500;700,0.9146141215106732,0.2572379138865162,0.969546051301746
S26,Uniform,4,300;435;565;700,0.921729611384784,0.2846596703669375,0.958635171006626
S26,Uniform,6,300;380;460;540;620;700,0.971538040503558,0.234144126848677,0.9734812962972812
S26,Uniform,8,300;355;415;470;530;585;645;700,0.9906951286261632,0.2241978829867014,0.974560290920918
S27,NAIG,2,365;620,0.950191570881226,0.24044831225049,0.9721536766340128
S27,NAIG,3,365;620;545,0.9578544061302684,0.2384446847244976,0.9726175677210837
S27,NAIG,4,365;620;545;450,0.956759715380405,0.2445290039657388,0.9717413838756668
S27,NAIG,6,365;620;545;450;425;685,0.9315818281335524,0.2362743794849819,0.9727827874052392
S27,NAIG,8,365;620;545;450;425;685;475;505,0.9381499726327313,0.227442830160759,0.9743244789050548
S27,Uniform,2,300;700,0.8773946360153257,0.2738578661277893,0.9619251599407744
S27,Uniform,3,300;500;700,0.9523809523809524,0.2356427467533974,0.9723697440082844
S27,Uniform,4,300;435;565;700,0.9584017515052,0.2374021473942308,0.971580137952378
S27,Uniform,6,300;380;460;540;620;700,0.9693486590038314,0.2164971929292405,0.9769926488538364
S27,Uniform,8,300;355;415;470;530;585;645;700,0.9748221127531472,0.2131811646475677,0.9771014758419247
S28,NAIG,2,365;425,0.9496442255062946,0.183012084916524,0.9834223957895636
S28,NAIG,3,365;425;620,0.9518336070060208,0.1791806424134799,0.9838537853660864
S28,NAIG,4,365;425;620;545,0.9584017515051996,0.1778006599241795,0.984110571698134
S28,NAIG,6,365;425;620;545;465;335,0.9748221127531472,0.1972727627952568,0.980547392856881
S28,NAIG,8,365;425;620;545;465;335;660;505,0.9781061850027366,0.1894704919414954,0.9818996045067424
S28,Uniform,2,300;700,0.9315818281335522,0.2088812962125188,0.9779792736314376
S28,Uniform,3,300;500;700,0.955665024630542,0.1949824094361355,0.98188903044353
S28,Uniform,4,300;435;565;700,0.9797482211275316,0.1929739746760322,0.9812234764716484
S28,Uniform,6,300;380;460;540;620;700,0.9786535303776684,0.1835329701549026,0.9831060201998368
S28,Uniform,8,300;355;415;470;530;585;645;700,0.9939792008757528,0.1743812090172039,0.9848276937348605
S30,NAIG,2,365;425,0.949096880131363,0.1914018211363729,0.982361640228894
S30,NAIG,3,365;425;480,0.9682539682539684,0.1876274345635242,0.9829688796053162
S30,NAIG,4,365;425;480;620,0.9688013136289,0.182023956153644,0.9838172652272964
S30,NAIG,6,365;425;480;620;545;330,0.9852216748768474,0.199916599096988,0.9814507127032264
S30,NAIG,8,365;425;480;620;545;330;505;400,0.9917898193760264,0.1920741177875507,0.9825018572646292
S30,Uniform,2,300;700,0.8106185002736727,0.1870301448042044,0.9823849279456622
S30,Uniform,3,300;500;700,0.8500273672687466,0.1737596033495723,0.9849124570266998
S30,Uniform,4,300;435;565;700,0.9578544061302684,0.1820222483289942,0.9834006984617256
S30,Uniform,6,300;380;460;540;620;700,0.971538040503558,0.1746912293487718,0.9846799148195332
S30,Uniform,8,300;355;415;470;530;585;645;700,0.9846743295019156,0.157858837709708,0.9876979322419306
