strategy,K,selected_ex,relative_frobenius_error_fullrange,spectral_cosine_fullrange,rho_structure
NAIG,2,365;620,0.24044831225049,0.9721536766340128,0.950191570881226
NAIG,3,365;620;545,0.2384446847244976,0.9726175677210837,0.9578544061302684
NAIG,4,365;620;545;450,0.2445290039657388,0.9717413838756668,0.956759715380405
NAIG,6,365;620;545;450;425;685,0.2362743794849819,0.9727827874052392,0.9315818281335524
NAIG,8,365;620;545;450;425;685;475;505,0.227442830160759,0.9743244789050548,0.9381499726327313
Uniform,2,300;700,0.2738578661277893,0.9619251599407744,0.8773946360153257
Uniform,3,300;500;700,0.2356427467533974,0.9723697440082844,0.9523809523809524
Uniform,4,300;435;565;700,0.2374021473942308,0.971580137952378,0.9584017515052
Uniform,6,300;380;460;540;620;700,0.2164971929292405,0.9769926488538364,0.9693486590038314
Uniform,8,300;355;415;470;530;585;645;700,0.2131811646475677,0.9771014758419247,0.9748221127531472
NAIG,2,365;425,0.183012084916524,0.9834223957895636,0.9496442255062946
NAIG,3,365;425;620,0.1791806424134799,0.9838537853660864,0.9518336070060208
NAIG,4,365;425;620;545,0.1778006599241795,0.984110571698134,0.9584017515051996
NAIG,6,365;425;620;545;465;335,0.1972727627952568,0.980547392856881,0.9748221127531472
NAIG,8,365;425;620;545;465;335;660;505,0.1894704919414954,0.9818996045067424,0.9781061850027366
Uniform,2,300;700,0.2088812962125188,0.9779792736314376,0.9315818281335522
Uniform,3,300;500;700,0.1949824094361355,0.98188903044353,0.955665024630542
Uniform,4,300;435;565;700,0.1929739746760322,0.9812234764716484,0.9797482211275316
Uniform,6,300;380;460;540;620;700,0.1835329701549026,0.9831060201998368,0.9786535303776684
Uniform,8,300;355;415;470;530;585;645;700,0.1743812090172039,0.9848276937348605,0.9939792008757528
NAIG,2,365;425,0.1914018211363729,0.982361640228894,0.949096880131363
NAIG,3,365;425;480,0.1876274345635242,0.9829688796053162,0.9682539682539684
NAIG,4,365;425;480;620,0.182023956153644,0.9838172652272964,0.9688013136289
NAIG,6,365;425;480;620;545;330,0.199916599096988,0.9814507127032264,0.9852216748768474
NAIG,8,365;425;480;620;545;330;505;400,0.1920741177875507,0.9825018572646292,0.9917898193760264
Uniform,2,300;700,0.1870301448042044,0.9823849279456622,0.8106185002736727
Uniform,3,300;500;700,0.1737596033495723,0.9849124570266998,0.8500273672687466
Uniform,4,300;435;565;700,0.1820222483289942,0.9834006984617256,0.9578544061302684
Uniform,6,300;380;460;540;620;700,0.1746912293487718,0.9846799148195332,0.971538040503558
Uniform,8,300;355;415;470;530;585;645;700,0.157858837709708,0.9876979322419306,0.9846743295019156
